"","Id","When","Type","Alberta","ModifiedDate"
"69",75318,"11/1/2008 12:00:00 AM","Natural Gas",10375347200,"8/21/2020 1:23:15 PM"
"70",75319,"12/1/2008 12:00:00 AM","Natural Gas",10337836500,"8/21/2020 1:23:15 PM"
"71",75320,"12/1/2008 12:00:00 AM","Conventional Oil",2462488.3,"8/21/2020 1:23:15 PM"
"72",75321,"12/1/2008 12:00:00 AM","Non-Conventional Oil",6259388.5,"8/21/2020 1:23:15 PM"
"73",75322,"1/1/2009 12:00:00 AM","Natural Gas",10364157300,"8/21/2020 1:23:15 PM"
"74",75323,"1/1/2009 12:00:00 AM","Conventional Oil",2427019.1,"8/21/2020 1:23:15 PM"
"75",75324,"1/1/2009 12:00:00 AM","Non-Conventional Oil",6188192.4,"8/21/2020 1:23:15 PM"
"76",75325,"2/1/2009 12:00:00 AM","Conventional Oil",2222681.9,"8/21/2020 1:23:15 PM"
"77",75326,"2/1/2009 12:00:00 AM","Non-Conventional Oil",5899431.6,"8/21/2020 1:23:15 PM"
"78",75327,"2/1/2009 12:00:00 AM","Natural Gas",9572810600,"8/21/2020 1:23:15 PM"
"79",75328,"3/1/2009 12:00:00 AM","Natural Gas",10485242000,"8/21/2020 1:23:15 PM"
"80",75329,"3/1/2009 12:00:00 AM","Conventional Oil",2413559.6,"8/21/2020 1:23:15 PM"
"81",75330,"3/1/2009 12:00:00 AM","Non-Conventional Oil",6214096,"8/21/2020 1:23:15 PM"
"82",75331,"4/1/2009 12:00:00 AM","Non-Conventional Oil",5631426.8,"8/21/2020 1:23:15 PM"
"83",75332,"4/1/2009 12:00:00 AM","Natural Gas",10344389600,"8/21/2020 1:23:15 PM"
"84",75333,"4/1/2009 12:00:00 AM","Conventional Oil",2311917.8,"8/21/2020 1:23:15 PM"
"85",75334,"5/1/2009 12:00:00 AM","Non-Conventional Oil",6180852.7,"8/21/2020 1:23:15 PM"
"86",75335,"5/1/2009 12:00:00 AM","Natural Gas",10300282300,"8/21/2020 1:23:15 PM"
