"","Id","When","Type","Unit","Alberta","ModifiedDate"
"110",124270,"5/1/1992 12:00:00 AM","WTI","$US/bbl",21,"8/25/2020 7:56:07 AM"
"111",124271,"6/1/1992 12:00:00 AM","WTI","$US/bbl",22.36,"8/25/2020 7:56:07 AM"
"112",124272,"7/1/1992 12:00:00 AM","WTI","$US/bbl",21.74,"8/25/2020 7:56:07 AM"
"113",124273,"8/1/1992 12:00:00 AM","WTI","$US/bbl",21.29,"8/25/2020 7:56:07 AM"
"114",124274,"9/1/1992 12:00:00 AM","WTI","$US/bbl",21.92,"8/25/2020 7:56:07 AM"
"115",124275,"10/1/1992 12:00:00 AM","WTI","$US/bbl",21.71,"8/25/2020 7:56:07 AM"
"116",124276,"11/1/1992 12:00:00 AM","WTI","$US/bbl",20.36,"8/25/2020 7:56:07 AM"
"117",124277,"12/1/1992 12:00:00 AM","WTI","$US/bbl",19.41,"8/25/2020 7:56:07 AM"
"118",124278,"1/1/1993 12:00:00 AM","WTI","$US/bbl",19.07,"8/25/2020 7:56:07 AM"
"119",124279,"2/1/1993 12:00:00 AM","WTI","$US/bbl",20.08,"8/25/2020 7:56:07 AM"
"120",124280,"3/1/1993 12:00:00 AM","WTI","$US/bbl",20.35,"8/25/2020 7:56:07 AM"
"121",124281,"4/1/1993 12:00:00 AM","WTI","$US/bbl",20.33,"8/25/2020 7:56:07 AM"
"122",124282,"5/1/1993 12:00:00 AM","WTI","$US/bbl",19.98,"8/25/2020 7:56:07 AM"
"123",124283,"6/1/1993 12:00:00 AM","WTI","$US/bbl",19.13,"8/25/2020 7:56:07 AM"
"124",124284,"7/1/1993 12:00:00 AM","WTI","$US/bbl",17.9,"8/25/2020 7:56:07 AM"
"125",124285,"8/1/1993 12:00:00 AM","WTI","$US/bbl",18.01,"8/25/2020 7:56:07 AM"
"126",124286,"9/1/1993 12:00:00 AM","WTI","$US/bbl",17.52,"8/25/2020 7:56:07 AM"
"127",124287,"10/1/1993 12:00:00 AM","WTI","$US/bbl",18.17,"8/25/2020 7:56:07 AM"
"128",124288,"11/1/1993 12:00:00 AM","WTI","$US/bbl",16.74,"8/25/2020 7:56:07 AM"
"129",124289,"12/1/1993 12:00:00 AM","WTI","$US/bbl",14.53,"8/25/2020 7:56:07 AM"
"130",124290,"1/1/1994 12:00:00 AM","WTI","$US/bbl",15.02,"8/25/2020 7:56:07 AM"
"131",124291,"2/1/1994 12:00:00 AM","WTI","$US/bbl",14.78,"8/25/2020 7:56:07 AM"
"132",124292,"3/1/1994 12:00:00 AM","WTI","$US/bbl",14.65,"8/25/2020 7:56:07 AM"
"133",124293,"4/1/1994 12:00:00 AM","WTI","$US/bbl",16.33,"8/25/2020 7:56:07 AM"
"134",124294,"5/1/1994 12:00:00 AM","WTI","$US/bbl",17.83,"8/25/2020 7:56:07 AM"
"135",124295,"6/1/1994 12:00:00 AM","WTI","$US/bbl",19.07,"8/25/2020 7:56:07 AM"
"136",124296,"7/1/1994 12:00:00 AM","WTI","$US/bbl",19.66,"8/25/2020 7:56:07 AM"
"137",124297,"8/1/1994 12:00:00 AM","WTI","$US/bbl",18.38,"8/25/2020 7:56:07 AM"
"138",124298,"9/1/1994 12:00:00 AM","WTI","$US/bbl",17.47,"8/25/2020 7:56:07 AM"
"139",124299,"10/1/1994 12:00:00 AM","WTI","$US/bbl",17.71,"8/25/2020 7:56:07 AM"
"140",124300,"11/1/1994 12:00:00 AM","WTI","$US/bbl",18.1,"8/25/2020 7:56:07 AM"
"141",124301,"12/1/1994 12:00:00 AM","WTI","$US/bbl",17.16,"8/25/2020 7:56:07 AM"
"142",124302,"1/1/1995 12:00:00 AM","WTI","$US/bbl",17.99,"8/25/2020 7:56:07 AM"
"143",124303,"2/1/1995 12:00:00 AM","WTI","$US/bbl",18.53,"8/25/2020 7:56:07 AM"
"144",124304,"3/1/1995 12:00:00 AM","WTI","$US/bbl",18.55,"8/25/2020 7:56:07 AM"
"145",124305,"4/1/1995 12:00:00 AM","WTI","$US/bbl",19.89,"8/25/2020 7:56:07 AM"
"146",124306,"5/1/1995 12:00:00 AM","WTI","$US/bbl",19.74,"8/25/2020 7:56:07 AM"
"147",124307,"6/1/1995 12:00:00 AM","WTI","$US/bbl",18.4,"8/25/2020 7:56:07 AM"
"148",124308,"7/1/1995 12:00:00 AM","WTI","$US/bbl",17.26,"8/25/2020 7:56:07 AM"
"149",124309,"8/1/1995 12:00:00 AM","WTI","$US/bbl",17.81,"8/25/2020 7:56:07 AM"
"150",124310,"9/1/1995 12:00:00 AM","WTI","$US/bbl",18.21,"8/25/2020 7:56:07 AM"
"151",124311,"10/1/1995 12:00:00 AM","WTI","$US/bbl",17.4,"8/25/2020 7:56:07 AM"
"152",124312,"11/1/1995 12:00:00 AM","WTI","$US/bbl",18,"8/25/2020 7:56:07 AM"
"153",124313,"12/1/1995 12:00:00 AM","WTI","$US/bbl",19.04,"8/25/2020 7:56:07 AM"
"154",124314,"1/1/1996 12:00:00 AM","WTI","$US/bbl",18.7,"8/25/2020 7:56:07 AM"
"155",124315,"2/1/1996 12:00:00 AM","WTI","$US/bbl",18.78,"8/25/2020 7:56:07 AM"
"156",124316,"3/1/1996 12:00:00 AM","WTI","$US/bbl",21.18,"8/25/2020 7:56:07 AM"
"157",124317,"4/1/1996 12:00:00 AM","WTI","$US/bbl",23.3,"8/25/2020 7:56:07 AM"
"158",124318,"5/1/1996 12:00:00 AM","WTI","$US/bbl",21.09,"8/25/2020 7:56:07 AM"
"159",124319,"6/1/1996 12:00:00 AM","WTI","$US/bbl",20.43,"8/25/2020 7:56:07 AM"
"160",124320,"7/1/1996 12:00:00 AM","WTI","$US/bbl",21.25,"8/25/2020 7:56:07 AM"
"161",124321,"8/1/1996 12:00:00 AM","WTI","$US/bbl",21.91,"8/25/2020 7:56:07 AM"
"162",124322,"9/1/1996 12:00:00 AM","WTI","$US/bbl",23.93,"8/25/2020 7:56:07 AM"
"163",124323,"10/1/1996 12:00:00 AM","WTI","$US/bbl",24.9,"8/25/2020 7:56:07 AM"
"164",124324,"11/1/1996 12:00:00 AM","WTI","$US/bbl",23.55,"8/25/2020 7:56:07 AM"
"165",124325,"12/1/1996 12:00:00 AM","WTI","$US/bbl",25.12,"8/25/2020 7:56:07 AM"
"166",124326,"1/1/1997 12:00:00 AM","WTI","$US/bbl",25.18,"8/25/2020 7:56:07 AM"
"167",124327,"2/1/1997 12:00:00 AM","WTI","$US/bbl",22.17,"8/25/2020 7:56:07 AM"
"168",124328,"3/1/1997 12:00:00 AM","WTI","$US/bbl",20.97,"8/25/2020 7:56:07 AM"
"169",124329,"4/1/1997 12:00:00 AM","WTI","$US/bbl",19.73,"8/25/2020 7:56:07 AM"
"170",124330,"5/1/1997 12:00:00 AM","WTI","$US/bbl",20.87,"8/25/2020 7:56:07 AM"
"171",124331,"6/1/1997 12:00:00 AM","WTI","$US/bbl",19.22,"8/25/2020 7:56:07 AM"
"172",124332,"7/1/1997 12:00:00 AM","WTI","$US/bbl",19.66,"8/25/2020 7:56:07 AM"
"173",124333,"8/1/1997 12:00:00 AM","WTI","$US/bbl",19.95,"8/25/2020 7:56:07 AM"
"174",124334,"9/1/1997 12:00:00 AM","WTI","$US/bbl",19.78,"8/25/2020 7:56:07 AM"
"175",124335,"10/1/1997 12:00:00 AM","WTI","$US/bbl",21.28,"8/25/2020 7:56:07 AM"
"176",124336,"11/1/1997 12:00:00 AM","WTI","$US/bbl",20.22,"8/25/2020 7:56:07 AM"
"177",124337,"12/1/1997 12:00:00 AM","WTI","$US/bbl",18.32,"8/25/2020 7:56:07 AM"
"178",124338,"1/1/1998 12:00:00 AM","WTI","$US/bbl",16.73,"8/25/2020 7:56:07 AM"
"179",124339,"2/1/1998 12:00:00 AM","WTI","$US/bbl",16.08,"8/25/2020 7:56:07 AM"
"180",124340,"3/1/1998 12:00:00 AM","WTI","$US/bbl",15.04,"8/25/2020 7:56:07 AM"
"181",124341,"4/1/1998 12:00:00 AM","WTI","$US/bbl",15.46,"8/25/2020 7:56:07 AM"
"182",124342,"5/1/1998 12:00:00 AM","WTI","$US/bbl",14.93,"8/25/2020 7:56:07 AM"
"183",124343,"6/1/1998 12:00:00 AM","WTI","$US/bbl",13.67,"8/25/2020 7:56:07 AM"
"184",124344,"7/1/1998 12:00:00 AM","WTI","$US/bbl",14.09,"8/25/2020 7:56:07 AM"
"185",124345,"8/1/1998 12:00:00 AM","WTI","$US/bbl",13.38,"8/25/2020 7:56:07 AM"
"186",124346,"9/1/1998 12:00:00 AM","WTI","$US/bbl",14.97,"8/25/2020 7:56:07 AM"
"187",124347,"10/1/1998 12:00:00 AM","WTI","$US/bbl",14.42,"8/25/2020 7:56:07 AM"
"188",124348,"11/1/1998 12:00:00 AM","WTI","$US/bbl",13.04,"8/25/2020 7:56:07 AM"
"189",124349,"12/1/1998 12:00:00 AM","WTI","$US/bbl",11.31,"8/25/2020 7:56:07 AM"
"190",124350,"1/1/1999 12:00:00 AM","WTI","$US/bbl",12.49,"8/25/2020 7:56:07 AM"
"191",124351,"2/1/1999 12:00:00 AM","WTI","$US/bbl",12.02,"8/25/2020 7:56:07 AM"
"192",124352,"3/1/1999 12:00:00 AM","WTI","$US/bbl",14.68,"8/25/2020 7:56:07 AM"
"193",124353,"4/1/1999 12:00:00 AM","WTI","$US/bbl",17.3,"8/25/2020 7:56:07 AM"
"194",124354,"5/1/1999 12:00:00 AM","WTI","$US/bbl",17.77,"8/25/2020 7:56:07 AM"
"195",124355,"6/1/1999 12:00:00 AM","WTI","$US/bbl",17.92,"8/25/2020 7:56:07 AM"
"196",124356,"7/1/1999 12:00:00 AM","WTI","$US/bbl",20.1,"8/25/2020 7:56:07 AM"
"197",124357,"8/1/1999 12:00:00 AM","WTI","$US/bbl",21.28,"8/25/2020 7:56:07 AM"
"198",124358,"9/1/1999 12:00:00 AM","WTI","$US/bbl",23.79,"8/25/2020 7:56:07 AM"
"199",124359,"10/1/1999 12:00:00 AM","WTI","$US/bbl",22.67,"8/25/2020 7:56:07 AM"
"200",124360,"11/1/1999 12:00:00 AM","WTI","$US/bbl",24.77,"8/25/2020 7:56:07 AM"
"201",124361,"12/1/1999 12:00:00 AM","WTI","$US/bbl",26.09,"8/25/2020 7:56:07 AM"
"202",124362,"1/1/2000 12:00:00 AM","WTI","$US/bbl",27.01,"8/25/2020 7:56:07 AM"
"203",124363,"2/1/2000 12:00:00 AM","WTI","$US/bbl",29.3,"8/25/2020 7:56:07 AM"
"204",124364,"3/1/2000 12:00:00 AM","WTI","$US/bbl",29.89,"8/25/2020 7:56:07 AM"
"205",124365,"4/1/2000 12:00:00 AM","WTI","$US/bbl",25.54,"8/25/2020 7:56:07 AM"
"206",124366,"5/1/2000 12:00:00 AM","WTI","$US/bbl",28.81,"8/25/2020 7:56:07 AM"
"207",124367,"6/1/2000 12:00:00 AM","WTI","$US/bbl",31.53,"8/25/2020 7:56:07 AM"
"208",124368,"7/1/2000 12:00:00 AM","WTI","$US/bbl",29.72,"8/25/2020 7:56:07 AM"
"209",124369,"8/1/2000 12:00:00 AM","WTI","$US/bbl",31.14,"8/25/2020 7:56:07 AM"
"210",124370,"9/1/2000 12:00:00 AM","WTI","$US/bbl",33.87,"8/25/2020 7:56:07 AM"
"211",124371,"10/1/2000 12:00:00 AM","WTI","$US/bbl",32.93,"8/25/2020 7:56:07 AM"
"212",124372,"11/1/2000 12:00:00 AM","WTI","$US/bbl",34.26,"8/25/2020 7:56:07 AM"
"213",124373,"12/1/2000 12:00:00 AM","WTI","$US/bbl",28.4,"8/25/2020 7:56:07 AM"
"214",124374,"1/1/2001 12:00:00 AM","WTI","$US/bbl",29.26,"8/25/2020 7:56:07 AM"
"215",124375,"2/1/2001 12:00:00 AM","WTI","$US/bbl",29.64,"8/25/2020 7:56:07 AM"
"216",124376,"3/1/2001 12:00:00 AM","WTI","$US/bbl",27.27,"8/25/2020 7:56:07 AM"
"217",124377,"4/1/2001 12:00:00 AM","WTI","$US/bbl",27.62,"8/25/2020 7:56:07 AM"
"218",124378,"5/1/2001 12:00:00 AM","WTI","$US/bbl",28.68,"8/25/2020 7:56:07 AM"
"219",124379,"6/1/2001 12:00:00 AM","WTI","$US/bbl",27.59,"8/25/2020 7:56:07 AM"
"220",124380,"7/1/2001 12:00:00 AM","WTI","$US/bbl",26.47,"8/25/2020 7:56:07 AM"
