"","Id","StructureType","Area","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"52",223051,"Total industrial","All areas","11/1/2011 12:00:00 AM",139765000,49133000,506800000,2111000,3736000,1560000,11021000,200094000,4167000,85053000,10073000,"7/31/2020 10:09:33 AM"
"53",223052,"Total institutional and governmental","All areas","11/1/2011 12:00:00 AM",50266000,117085000,795610000,40108000,13928000,630000,4282000,399457000,731000,107484000,61190000,"7/31/2020 10:09:33 AM"
"54",223053,"Total residential","All areas","11/1/2011 12:00:00 AM",613966000,600681000,3951093000,97009000,47157000,66978000,89100000,1463474000,10904000,809749000,137617000,"7/31/2020 10:09:33 AM"
"55",223054,"Total residential and non-residential","All areas","11/1/2011 12:00:00 AM",1029327000,896534000,6416696000,175073000,81144000,80007000,125411000,2449485000,21821000,1253322000,288105000,"7/31/2020 10:09:33 AM"
"56",223055,"Total commercial","All areas","12/1/2011 12:00:00 AM",439728000,223756000,1559053000,42848000,19821000,7310000,70347000,484926000,6660000,207376000,54752000,"7/31/2020 10:09:33 AM"
"57",223056,"Total industrial","All areas","12/1/2011 12:00:00 AM",72205000,47418000,429417000,8315000,4277000,294000,7218000,174948000,292000,101521000,11689000,"7/31/2020 10:09:33 AM"
"58",223057,"Total institutional and governmental","All areas","12/1/2011 12:00:00 AM",68251000,70493000,589293000,16559000,10931000,2621000,7432000,286613000,45000,103267000,23037000,"7/31/2020 10:09:33 AM"
"59",223058,"Total residential","All areas","12/1/2011 12:00:00 AM",652726000,543620000,4282433000,108657000,48261000,54496000,94703000,1747482000,14321000,858564000,154996000,"7/31/2020 10:09:33 AM"
"60",223059,"Total residential and non-residential","All areas","12/1/2011 12:00:00 AM",1232910000,885287000,6860195000,176379000,83290000,64721000,179700000,2693969000,21318000,1270728000,244473000,"7/31/2020 10:09:33 AM"
"61",223060,"Total commercial","All areas","1/1/2012 12:00:00 AM",342605000,248299000,1486079000,45347000,12317000,17693000,17933000,528613000,599000,211787000,60302000,"7/31/2020 10:09:33 AM"
"62",223061,"Total industrial","All areas","1/1/2012 12:00:00 AM",121940000,66037000,467336000,16227000,3696000,125000,5845000,155479000,3013000,70451000,24443000,"7/31/2020 10:09:33 AM"
"63",223062,"Total institutional and governmental","All areas","1/1/2012 12:00:00 AM",68263000,37937000,565521000,25878000,4630000,2005000,8694000,266746000,7400000,125644000,17024000,"7/31/2020 10:09:33 AM"
"64",223063,"Total residential","All areas","1/1/2012 12:00:00 AM",633434000,479452000,4053145000,112834000,42143000,59048000,81598000,1677063000,12520000,802446000,148754000,"7/31/2020 10:09:33 AM"
