"","Id","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate","Type"
"78",27448,"3/1/2019 12:00:00 AM",18,8,281,1,4,3,3,73,0,170,1,"8/5/2020 8:48:21 AM","Corporate"
"79",27449,"4/1/2019 12:00:00 AM",7,11,278,5,2,3,9,71,3,165,2,"8/5/2020 8:48:21 AM","Corporate"
"80",27450,"4/1/2019 12:00:00 AM",517,335,4863,142,214,164,290,1287,37,1777,100,"8/5/2020 8:48:21 AM","Personal"
"81",27451,"5/1/2019 12:00:00 AM",482,375,5163,133,228,126,294,1456,35,1920,111,"8/5/2020 8:48:21 AM","Personal"
"82",27452,"5/1/2019 12:00:00 AM",11,7,236,3,3,4,4,68,2,126,8,"8/5/2020 8:48:21 AM","Corporate"
"83",27453,"6/1/2019 12:00:00 AM",12,7,212,3,7,4,5,45,0,129,0,"8/5/2020 8:48:21 AM","Corporate"
"84",27454,"6/1/2019 12:00:00 AM",440,333,4322,124,198,137,304,1220,28,1438,100,"8/5/2020 8:48:21 AM","Personal"
"85",27455,"7/1/2019 12:00:00 AM",476,378,4552,126,201,137,249,1255,39,1593,95,"8/5/2020 8:48:21 AM","Personal"
"86",27456,"7/1/2019 12:00:00 AM",20,16,250,1,5,2,5,54,0,141,6,"8/5/2020 8:48:21 AM","Corporate"
"87",27457,"8/1/2019 12:00:00 AM",13,5,177,4,0,7,1,50,0,93,4,"8/5/2020 8:48:21 AM","Corporate"
"88",27458,"8/1/2019 12:00:00 AM",459,344,4492,101,208,106,295,1227,31,1620,99,"8/5/2020 8:48:21 AM","Personal"
"89",27459,"9/1/2019 12:00:00 AM",461,345,4713,120,205,125,239,1256,21,1848,91,"8/5/2020 8:48:21 AM","Personal"
"90",27460,"9/1/2019 12:00:00 AM",10,7,190,3,4,0,2,50,1,106,6,"8/5/2020 8:48:21 AM","Corporate"
"91",27461,"10/1/2019 12:00:00 AM",15,5,218,2,2,0,3,47,0,132,12,"8/5/2020 8:48:21 AM","Corporate"
"92",27462,"10/1/2019 12:00:00 AM",486,390,5127,118,225,313,298,1308,34,1983,154,"8/5/2020 8:48:21 AM","Personal"
"93",27463,"11/1/2019 12:00:00 AM",480,338,4484,99,197,132,226,1158,37,1680,133,"8/5/2020 8:48:21 AM","Personal"
"94",27464,"11/1/2019 12:00:00 AM",10,7,218,1,2,2,6,53,1,127,7,"8/5/2020 8:48:21 AM","Corporate"
"95",27465,"12/1/2019 12:00:00 AM",13,4,214,4,0,3,5,38,2,138,7,"8/5/2020 8:48:21 AM","Corporate"
"96",27466,"12/1/2019 12:00:00 AM",403,311,3917,86,147,92,222,1146,32,1363,112,"8/5/2020 8:48:21 AM","Personal"
"97",27467,"1/1/2020 12:00:00 AM",424,282,3840,85,145,72,202,1063,30,1436,98,"8/5/2020 8:48:21 AM","Personal"
"98",27468,"1/1/2020 12:00:00 AM",16,7,222,1,1,0,6,46,1,137,7,"8/5/2020 8:48:21 AM","Corporate"
"99",27469,"2/1/2020 12:00:00 AM",13,3,233,1,2,2,2,55,0,144,11,"8/5/2020 8:48:21 AM","Corporate"
"100",27470,"2/1/2020 12:00:00 AM",385,338,3867,68,135,97,207,1011,27,1494,104,"8/5/2020 8:48:21 AM","Personal"
"101",27471,"3/1/2020 12:00:00 AM",397,326,3741,77,173,99,174,1061,23,1312,96,"8/5/2020 8:48:21 AM","Personal"
"102",27472,"3/1/2020 12:00:00 AM",13,5,175,2,0,0,2,44,0,104,5,"8/5/2020 8:48:21 AM","Corporate"
"103",27473,"4/1/2020 12:00:00 AM",6,3,108,4,0,0,0,37,0,58,0,"8/5/2020 8:48:21 AM","Corporate"
"104",27474,"4/1/2020 12:00:00 AM",260,197,2181,57,102,51,112,637,16,690,59,"8/5/2020 8:48:21 AM","Personal"
"105",27475,"5/1/2020 12:00:00 AM",231,176,2047,54,87,68,96,592,12,662,65,"8/5/2020 8:48:21 AM","Personal"
"106",27476,"5/1/2020 12:00:00 AM",6,10,152,2,0,0,1,55,0,77,1,"8/5/2020 8:48:21 AM","Corporate"
"107",27477,"6/1/2020 12:00:00 AM",10,8,191,5,3,1,1,42,0,118,3,"8/5/2020 8:48:21 AM","Corporate"
"108",27478,"6/1/2020 12:00:00 AM",250,166,2185,59,88,50,101,654,12,740,61,"8/5/2020 8:48:21 AM","Personal"
"109",27388,"9/1/2016 12:00:00 AM",10,10,224,3,4,2,3,69,2,116,5,"8/5/2020 8:48:21 AM","Corporate"
"110",27389,"10/1/2016 12:00:00 AM",22,6,231,1,4,1,4,64,0,122,7,"8/5/2020 8:48:21 AM","Corporate"
"111",27390,"10/1/2016 12:00:00 AM",440,340,5273,134,262,102,358,1380,48,2093,112,"8/5/2020 8:48:21 AM","Personal"
