"","Id","When","Airport","FlightType","Alberta","ModifiedDate"
"207",290464,"3/1/2013 12:00:00 AM","All Airports","All Flight Types",1879130,"8/25/2020 8:08:53 AM"
"208",290465,"4/1/2013 12:00:00 AM","All Airports","All Flight Types",1811844,"8/25/2020 8:08:53 AM"
"209",290466,"5/1/2013 12:00:00 AM","All Airports","All Flight Types",1826416,"8/25/2020 8:08:53 AM"
"210",290467,"6/1/2013 12:00:00 AM","All Airports","All Flight Types",1818517,"8/25/2020 8:08:53 AM"
"211",290468,"7/1/2013 12:00:00 AM","All Airports","All Flight Types",2096719,"8/25/2020 8:08:53 AM"
"212",290469,"8/1/2013 12:00:00 AM","All Airports","All Flight Types",2209248,"8/25/2020 8:08:53 AM"
"213",290470,"9/1/2013 12:00:00 AM","All Airports","All Flight Types",1852266,"8/25/2020 8:08:53 AM"
"214",290471,"10/1/2013 12:00:00 AM","All Airports","All Flight Types",1887159,"8/25/2020 8:08:53 AM"
"215",290472,"11/1/2013 12:00:00 AM","All Airports","All Flight Types",1776596,"8/25/2020 8:08:53 AM"
"216",290473,"12/1/2013 12:00:00 AM","All Airports","All Flight Types",1916915,"8/25/2020 8:08:53 AM"
"217",290474,"1/1/2014 12:00:00 AM","All Airports","All Flight Types",1857451,"8/25/2020 8:08:53 AM"
"218",290475,"2/1/2014 12:00:00 AM","All Airports","All Flight Types",1820862,"8/25/2020 8:08:53 AM"
"219",290476,"3/1/2014 12:00:00 AM","All Airports","All Flight Types",1981415,"8/25/2020 8:08:53 AM"
"220",290477,"4/1/2014 12:00:00 AM","All Airports","All Flight Types",1984960,"8/25/2020 8:08:53 AM"
"221",290478,"5/1/2014 12:00:00 AM","All Airports","All Flight Types",1934577,"8/25/2020 8:08:53 AM"
"222",290479,"6/1/2014 12:00:00 AM","All Airports","All Flight Types",1973367,"8/25/2020 8:08:53 AM"
"223",290480,"7/1/2014 12:00:00 AM","All Airports","All Flight Types",2229842,"8/25/2020 8:08:53 AM"
"224",290481,"8/1/2014 12:00:00 AM","All Airports","All Flight Types",2352589,"8/25/2020 8:08:53 AM"
"225",290482,"9/1/2014 12:00:00 AM","All Airports","All Flight Types",1969648,"8/25/2020 8:08:53 AM"
"226",290483,"10/1/2014 12:00:00 AM","All Airports","All Flight Types",1988922,"8/25/2020 8:08:53 AM"
"227",290484,"11/1/2014 12:00:00 AM","All Airports","All Flight Types",1832358,"8/25/2020 8:08:53 AM"
"228",290485,"12/1/2014 12:00:00 AM","All Airports","All Flight Types",1976068,"8/25/2020 8:08:53 AM"
"229",290486,"1/1/2015 12:00:00 AM","All Airports","All Flight Types",1878974,"8/25/2020 8:08:53 AM"
"230",290487,"2/1/2015 12:00:00 AM","All Airports","All Flight Types",1802018,"8/25/2020 8:08:53 AM"
"231",290488,"3/1/2015 12:00:00 AM","All Airports","All Flight Types",1978088,"8/25/2020 8:08:53 AM"
"232",290489,"4/1/2015 12:00:00 AM","All Airports","All Flight Types",1911929,"8/25/2020 8:08:53 AM"
"233",290490,"5/1/2015 12:00:00 AM","All Airports","All Flight Types",1914545,"8/25/2020 8:08:53 AM"
"234",290491,"6/1/2015 12:00:00 AM","All Airports","All Flight Types",2001749,"8/25/2020 8:08:53 AM"
"235",290492,"7/1/2015 12:00:00 AM","All Airports","All Flight Types",2297514,"8/25/2020 8:08:53 AM"
"236",290493,"8/1/2015 12:00:00 AM","All Airports","All Flight Types",2365684,"8/25/2020 8:08:53 AM"
"237",290494,"9/1/2015 12:00:00 AM","All Airports","All Flight Types",1985234,"8/25/2020 8:08:53 AM"
"238",290495,"10/1/2015 12:00:00 AM","All Airports","All Flight Types",1949685,"8/25/2020 8:08:53 AM"
"239",290496,"11/1/2015 12:00:00 AM","All Airports","All Flight Types",1762297,"8/25/2020 8:08:53 AM"
"240",290497,"12/1/2015 12:00:00 AM","All Airports","All Flight Types",1995074,"8/25/2020 8:08:53 AM"
"241",290498,"1/1/2016 12:00:00 AM","All Airports","All Flight Types",1836181,"8/25/2020 8:08:53 AM"
"242",290499,"2/1/2016 12:00:00 AM","All Airports","All Flight Types",1818714,"8/25/2020 8:08:53 AM"
"243",290500,"3/1/2016 12:00:00 AM","All Airports","All Flight Types",1958904,"8/25/2020 8:08:53 AM"
