"","Id","When","Type","Alberta","ModifiedDate"
"85",49673,"5/1/2009 12:00:00 AM","Non-Conventional Oil",6180852.7,"8/21/2020 1:25:18 PM"
"86",49674,"5/1/2009 12:00:00 AM","Natural Gas",10300282300,"8/21/2020 1:25:18 PM"
"87",49675,"5/1/2009 12:00:00 AM","Conventional Oil",2299602.8,"8/21/2020 1:25:18 PM"
"88",49676,"6/1/2009 12:00:00 AM","Non-Conventional Oil",6488880.3,"8/21/2020 1:25:18 PM"
"89",49677,"6/1/2009 12:00:00 AM","Natural Gas",9932244200,"8/21/2020 1:25:18 PM"
"90",49678,"6/1/2009 12:00:00 AM","Conventional Oil",2219622,"8/21/2020 1:25:18 PM"
"91",49679,"7/1/2009 12:00:00 AM","Natural Gas",10157096800,"8/21/2020 1:25:18 PM"
"92",49680,"7/1/2009 12:00:00 AM","Conventional Oil",2308707.2,"8/21/2020 1:25:18 PM"
"93",49681,"7/1/2009 12:00:00 AM","Non-Conventional Oil",7067458,"8/21/2020 1:25:18 PM"
"94",49682,"8/1/2009 12:00:00 AM","Natural Gas",9984667000,"8/21/2020 1:25:18 PM"
"95",49683,"8/1/2009 12:00:00 AM","Conventional Oil",2319714.9,"8/21/2020 1:25:18 PM"
"96",49684,"8/1/2009 12:00:00 AM","Non-Conventional Oil",6849020.5,"8/21/2020 1:25:18 PM"
"97",49685,"9/1/2009 12:00:00 AM","Conventional Oil",2212676,"8/21/2020 1:25:18 PM"
"98",49686,"9/1/2009 12:00:00 AM","Non-Conventional Oil",6414893.1,"8/21/2020 1:25:18 PM"
"99",49687,"9/1/2009 12:00:00 AM","Natural Gas",9118634900,"8/21/2020 1:25:18 PM"
"100",49688,"10/1/2009 12:00:00 AM","Conventional Oil",2284811.5,"8/21/2020 1:25:18 PM"
"101",49689,"10/1/2009 12:00:00 AM","Non-Conventional Oil",6952096.3,"8/21/2020 1:25:18 PM"
"102",49690,"10/1/2009 12:00:00 AM","Natural Gas",9485261800,"8/21/2020 1:25:18 PM"
"103",49691,"11/1/2009 12:00:00 AM","Conventional Oil",2252494.5,"8/21/2020 1:25:18 PM"
"104",49692,"11/1/2009 12:00:00 AM","Non-Conventional Oil",7005668.5,"8/21/2020 1:25:18 PM"
"105",49693,"11/1/2009 12:00:00 AM","Natural Gas",9442642900,"8/21/2020 1:25:18 PM"
"106",49694,"12/1/2009 12:00:00 AM","Non-Conventional Oil",6560493.1,"8/21/2020 1:25:18 PM"
"107",49695,"12/1/2009 12:00:00 AM","Conventional Oil",2259351.5,"8/21/2020 1:25:18 PM"
"108",49696,"12/1/2009 12:00:00 AM","Natural Gas",9404811000,"8/21/2020 1:25:18 PM"
"109",49697,"1/1/2010 12:00:00 AM","Non-Conventional Oil",5968168.2,"8/21/2020 1:25:18 PM"
"110",49698,"1/1/2010 12:00:00 AM","Natural Gas",9587092300,"8/21/2020 1:25:18 PM"
"111",49699,"1/1/2010 12:00:00 AM","Conventional Oil",2278535.3,"8/21/2020 1:25:18 PM"
