"","Id","When","DataType","NAICS","PrincipalStatistics","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"67",265706,"7/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",504445000,89145000,NA,36808000,NA,2556000,NA,1438875000,5152000,592695000,38604000,"8/14/2020 10:57:46 AM"
"68",265707,"8/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",479858000,85341000,NA,27705000,NA,2245000,NA,1442070000,3780000,570539000,28654000,"8/14/2020 10:57:46 AM"
"69",265708,"9/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",547594000,82881000,NA,31671000,NA,2262000,NA,1396150000,2418000,577652000,33987000,"8/14/2020 10:57:46 AM"
"70",265709,"10/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",623525000,85650000,NA,38803000,NA,2304000,NA,1399234000,1738000,608230000,39655000,"8/14/2020 10:57:46 AM"
"71",265710,"11/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",546828000,74450000,NA,29329000,NA,1985000,NA,1337152000,1328000,579655000,23944000,"8/14/2020 10:57:46 AM"
"72",265711,"12/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",548874000,76068000,NA,28196000,NA,2062000,NA,1299611000,945000,564137000,31407000,"8/14/2020 10:57:46 AM"
"73",265712,"1/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",492254000,66927000,NA,34959000,NA,NA,NA,1256106000,NA,475481000,31952000,"8/14/2020 10:57:46 AM"
"74",265713,"2/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",477938000,63660000,NA,36857000,NA,NA,NA,1296796000,NA,491851000,37530000,"8/14/2020 10:57:46 AM"
"75",265714,"3/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",527620000,76194000,NA,33592000,NA,NA,NA,1458288000,NA,565719000,66196000,"8/14/2020 10:57:46 AM"
"76",265715,"4/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",581659000,71028000,NA,47290000,NA,NA,NA,1483162000,NA,565933000,59308000,"8/14/2020 10:57:46 AM"
"77",265716,"5/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",674383000,77604000,NA,63897000,NA,NA,NA,1475440000,NA,626488000,89377000,"8/14/2020 10:57:46 AM"
"78",265717,"6/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",493472000,83290000,NA,40433000,NA,NA,NA,1452834000,NA,560662000,39986000,"8/14/2020 10:57:46 AM"
