"","Id","When","Vehicle","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"72",336120,"12/1/1947 12:00:00 AM","Trucks",0,0,4723,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"73",336121,"1/1/1948 12:00:00 AM","Passenger cars",0,0,9316,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"74",336122,"1/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,13704,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"75",336123,"1/1/1948 12:00:00 AM","Trucks",0,0,4388,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"76",336124,"2/1/1948 12:00:00 AM","Passenger cars",0,0,8103,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"77",336125,"2/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,13193,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"78",336126,"2/1/1948 12:00:00 AM","Trucks",0,0,5090,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"79",336127,"3/1/1948 12:00:00 AM","Passenger cars",0,0,13540,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"80",336128,"3/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,20974,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"81",336129,"3/1/1948 12:00:00 AM","Trucks",0,0,7434,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"82",336130,"4/1/1948 12:00:00 AM","Passenger cars",0,0,11725,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"83",336131,"4/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,19286,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"84",336132,"4/1/1948 12:00:00 AM","Trucks",0,0,7561,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"85",336133,"5/1/1948 12:00:00 AM","Passenger cars",0,0,10963,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"86",336134,"5/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,18751,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"87",336135,"5/1/1948 12:00:00 AM","Trucks",0,0,7788,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"88",336136,"6/1/1948 12:00:00 AM","Passenger cars",0,0,12855,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"89",336137,"6/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,21626,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"90",336138,"6/1/1948 12:00:00 AM","Trucks",0,0,8771,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"91",336139,"7/1/1948 12:00:00 AM","Passenger cars",0,0,10296,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"92",336140,"7/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,16164,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"93",336141,"7/1/1948 12:00:00 AM","Trucks",0,0,5868,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"94",336142,"8/1/1948 12:00:00 AM","Passenger cars",0,0,9656,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"95",336143,"8/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,13676,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"96",336144,"8/1/1948 12:00:00 AM","Trucks",0,0,4020,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"97",336145,"9/1/1948 12:00:00 AM","Passenger cars",0,0,13278,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"98",336146,"9/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,19007,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"99",336147,"9/1/1948 12:00:00 AM","Trucks",0,0,5729,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"100",336148,"10/1/1948 12:00:00 AM","Passenger cars",0,0,15060,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"101",336149,"10/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,21110,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"102",336150,"10/1/1948 12:00:00 AM","Trucks",0,0,6050,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"103",336151,"11/1/1948 12:00:00 AM","Passenger cars",0,0,15628,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"104",336152,"11/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,22345,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"105",336153,"11/1/1948 12:00:00 AM","Trucks",0,0,6717,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"106",336154,"12/1/1948 12:00:00 AM","Passenger cars",0,0,15235,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"107",336155,"12/1/1948 12:00:00 AM","Total, new motor vehicles",0,0,21464,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"108",336156,"12/1/1948 12:00:00 AM","Trucks",0,0,6229,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"109",336157,"1/1/1949 12:00:00 AM","Passenger cars",0,0,6537,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"110",336158,"1/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,11838,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"111",336159,"1/1/1949 12:00:00 AM","Trucks",0,0,5301,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"112",336160,"2/1/1949 12:00:00 AM","Passenger cars",0,0,8833,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"113",336161,"2/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,15301,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"114",336162,"2/1/1949 12:00:00 AM","Trucks",0,0,6468,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"115",336163,"3/1/1949 12:00:00 AM","Passenger cars",0,0,17401,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"116",336164,"3/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,25054,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"117",336165,"3/1/1949 12:00:00 AM","Trucks",0,0,7653,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"118",336166,"4/1/1949 12:00:00 AM","Passenger cars",0,0,20764,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"119",336167,"4/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,29314,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"120",336168,"4/1/1949 12:00:00 AM","Trucks",0,0,8550,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"121",336169,"5/1/1949 12:00:00 AM","Passenger cars",0,0,19692,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"122",336170,"5/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,28385,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"123",336171,"5/1/1949 12:00:00 AM","Trucks",0,0,8693,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"124",336172,"6/1/1949 12:00:00 AM","Passenger cars",0,0,20035,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"125",336173,"6/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,27829,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"126",336174,"6/1/1949 12:00:00 AM","Trucks",0,0,7794,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"127",336175,"7/1/1949 12:00:00 AM","Passenger cars",0,0,22057,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"128",336176,"7/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,29177,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"129",336177,"7/1/1949 12:00:00 AM","Trucks",0,0,7120,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"130",336178,"8/1/1949 12:00:00 AM","Passenger cars",0,0,13083,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"131",336179,"8/1/1949 12:00:00 AM","Total, new motor vehicles",0,0,18561,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"132",336180,"8/1/1949 12:00:00 AM","Trucks",0,0,5478,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"133",336181,"9/1/1949 12:00:00 AM","Passenger cars",0,0,20487,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
